candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,96,naics2,33,42723,5134,42723,14754125107.0,10921943056.5,1023595579.0,662199418.24,169,14735579156.0,1005049628.0,639042369.63,12.016946,11.712028,12.328695,True,6.937691,4.488232,64.693462,4.336731,63.583166
2001,96,naics2,23,96102,16090,96102,14977088925.0,10370235407.737,1638480122.0,1162696218.92,521,14943897325.0,1605288522.0,1112354098.76,16.742628,16.507907,16.980007,True,10.93991,7.763166,70.961875,7.443534,69.293095
2001,96,naics2,72,122827,17482,122827,44914227836.83,33419029416.0035,3375515443.0,2258891305.91,541,44811771900.83,3273059507.0,2144243485.15,14.233027,14.038752,14.429539,True,7.51547,5.029345,66.919893,4.785,65.5119
2001,96,naics2,44,115772,19489,115772,33233988410.0,24486525066.09554,2723506635.0,1803066446.55,473,33185996650.0,2675514875.0,1742162827.13,16.833949,16.619518,17.050581,True,8.194944,5.425369,66.203857,5.249693,65.115049
2001,96,naics2,54,98154,13465,98154,18244933217.0,12990826101.909,1181421885.0,872902652.83,365,18216359417.0,1152848085.0,833482681.9,13.718239,13.504428,13.934889,True,6.475342,4.784357,73.88577,4.575462,72.297703
2001,96,naics2,52,16078,2642,16078,3499533270.0,2540707037.157,195801630.0,143951638.83,47,3496865570.0,193133930.0,140268336.47,16.432392,15.867625,17.013196,True,5.595078,4.113453,73.519122,4.011259,72.627496
2001,96,naics2,48,38608,6566,38608,5554233024.0,3889320114.42,514981431.0,345112912.54,143,5548862424.0,509610831.0,336270888.42,17.006838,16.635374,17.384867,True,9.271873,6.213512,67.014632,6.060177,65.985821
2001,96,naics2,56,49724,7951,49724,7203631180.76,5104655274.256,655648491.0,482105105.94,207,7191491280.76,643508591.0,464713568.83,15.990266,15.670746,16.315041,True,9.101639,6.692529,73.531033,6.461992,72.215597
2001,96,naics2,32,20774,2842,20774,7258269654.75,5370240989.04908,621292813.0,394649430.89,75,7251247854.75,614271013.0,384333891.55,13.680562,13.219974,14.154581,True,8.559792,5.437238,63.520682,5.300245,62.56748
2001,96,naics2,53,21570,3897,21570,6480166394.0,4765511344.021999,389869597.0,255172177.19,81,6475360725.0,385063928.0,248689635.92,18.066759,17.559016,18.585875,True,6.016352,3.937741,65.450648,3.840553,64.583987
