candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent,total_gross_approval,total_chargeoff_loan_approval,total_gross_chargeoff_amount,total_sensitivity_gross_chargeoff_amount,gross_approval_share_percent,chargeoff_loan_approval_share_percent,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp
2001,120,term_band,Invalid or missing,1059,679,1059,124363025.0,86092889.25,57244075.0,36350713.32,27,123139025.0,56020075.0,34638930.74,64.117092,61.181953,66.950183,True,46.029819,29.229518,63.501268,28.129937,61.833067,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.06030502611178873,0.2679262806233547,0.25667481739330944,0.25462300717679803,0.002051810216511407
2001,120,guarantee_percent_band,>50% to 75%,224110,26084,224110,145586991111.09,108740907875.39337,13806649005.0,8614231067.890001,689,145315274908.09,13534932802.0,8315838701.63,11.638927,11.506813,11.772357,True,9.483436,5.916896,62.391903,5.722618,61.439823,206223316725.65,21365606564.17,14162165844.38,13604006615.14,70.596765401059,64.62090820371874,60.82566157286178,61.12786428944574,-0.30220271658395603
2001,120,guarantee_percent_band,>0% to 50%,470546,89329,470546,29638158780.0,14759060503.376,4464187300.0,3572020493.75,2974,29514497280.0,4340525800.0,3364389451.11,18.984116,18.872316,19.096423,True,15.062296,12.0521,80.015023,11.399108,77.511104,206223316725.65,21365606564.17,14162165844.38,13604006615.14,14.371875717346377,20.894268957879326,25.222275554466073,24.73087191361511,0.49140364085096166
2001,120,guarantee_percent_band,>75% to 85%,142646,30973,142646,11251213753.85,9528008943.060497,1830193235.17,1240319466.51,315,11225934723.85,1804914205.17,1211409617.45,21.713192,21.499999,21.927908,True,16.266629,11.023873,67.769864,10.791169,67.117296,206223316725.65,21365606564.17,14162165844.38,13604006615.14,5.4558397820834665,8.566071970262824,8.757978688705997,8.904800267458068,-0.14682157875207125
2001,120,guarantee_percent_band,>85% to 90%,41194,4217,41194,19742033150.05,17760466716.5525,1263102024.0,734838289.23,53,19720785050.05,1241853924.0,711612317.95,10.236928,9.947897,10.533374,True,6.398034,3.722202,58.177271,3.608438,57.302417,206223316725.65,21365606564.17,14162165844.38,13604006615.14,9.573133369935027,5.9118472494865415,5.188742296232941,5.230902469262558,-0.042160173029617276
2001,120,naics2,62,71124,6568,71124,21203425271.16,15671590375.1812,1324997998.0,873791719.0,192,21167438204.16,1289010931.0,831976924.21,9.234576,9.024003,9.449553,True,6.248981,4.120993,65.946644,3.930456,64.543822,206223316725.65,21365606564.17,14162165844.38,13604006615.14,10.281778805530541,6.201546368554845,6.169901755152433,6.115675681045955,0.05422607410647817
2001,120,naics2,42,50548,9906,50548,13953574635.66,10264721172.965399,1335521107.0,913627401.66,269,13927257335.66,1309203807.0,876068638.88,19.597215,19.253488,19.945561,True,9.571175,6.547623,68.409806,6.290317,66.916139,206223316725.65,21365606564.17,14162165844.38,13604006615.14,6.766244892774755,6.2507989323348365,6.451184174082784,6.43978398176473,0.011400192318054003
2001,120,naics2,51,13713,2770,13713,2338436168.0,1668629812.21,250579943.0,172796478.76,70,2334406868.0,246550643.0,167034495.61,20.19981,19.536217,20.880096,True,10.715706,7.389403,68.958623,7.155329,67.748554,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.1339339339163805,1.1728192328516485,1.2201274908002238,1.2278330960535266,-0.007705605253302883
2001,120,naics2,81,85894,14949,85894,17287793005.32,12691549269.64545,1908605346.0,1282933305.04,335,17250388503.32,1871200844.0,1238835705.08,17.40401,17.151915,17.65902,True,11.040191,7.421036,67.218365,7.181495,66.205384,206223316725.65,21365606564.17,14162165844.38,13604006615.14,8.383044788441108,8.933073536984063,9.058877851999657,9.106403283436297,-0.047525431436639565
2001,120,naics2,45,43382,9646,43382,5711933055.17,4078571527.9,939616288.17,648928917.45,247,5696972110.17,924655343.17,629149450.88,22.235028,21.846201,22.628772,True,16.450058,11.360934,69.063183,11.043576,68.041509,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.769780423408131,4.397798327643696,4.582130477645238,4.624736437424361,-0.04260595977912285
