candidate_start_fy,horizon_months,approval_fy,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,120,2011,45586,2910,45586,16201937800.0,12623449260.189999,818359500.0,465736744.78,80,16184124000.0,800545700.0,443391484.99,6.383539,6.162785,6.611643,True,5.050998,2.874574,56.911021,2.739669,55.386155
2010,120,2010,39908,3486,39908,10184738200.0,8221706807.110001,727267000.0,440115366.13,59,10170698700.0,713227500.0,424598235.07,8.735091,8.462032,9.016093,True,7.140753,4.321322,60.516339,4.17472,59.531949
2010,120,2011,45586,2910,45586,16201937800.0,12623449260.189999,818359500.0,465736744.78,80,16184124000.0,800545700.0,443391484.99,6.383539,6.162785,6.611643,True,5.050998,2.874574,56.911021,2.739669,55.386155
2001,96,2012,38854,2097,38854,13220237700.0,9585789358.0,488717100.0,300615974.97,70,13209861500.0,478340900.0,288237027.48,5.397128,5.176825,5.626249,True,3.696735,2.273907,61.511245,2.181984,60.257659
2001,96,2013,40385,2014,40385,15454865600.0,11309663204.19,490341600.0,293138976.91,71,15444508300.0,479984300.0,279389667.55,4.987,4.778949,5.203614,True,3.172733,1.896742,59.782604,1.80899,58.208085
2001,96,2014,45907,2508,45907,16844041600.0,12316331866.76,511159300.0,329383318.75,93,16829474600.0,496592300.0,312458386.25,5.463219,5.259031,5.67486,True,3.034659,1.955489,64.438487,1.856614,62.920506
2010,96,2012,38854,2097,38854,13220237700.0,9585789358.0,488717100.0,300615974.97,70,13209861500.0,478340900.0,288237027.48,5.397128,5.176825,5.626249,True,3.696735,2.273907,61.511245,2.181984,60.257659
2010,96,2013,40385,2014,40385,15454865600.0,11309663204.19,490341600.0,293138976.91,71,15444508300.0,479984300.0,279389667.55,4.987,4.778949,5.203614,True,3.172733,1.896742,59.782604,1.80899,58.208085
2010,96,2014,45907,2508,45907,16844041600.0,12316331866.76,511159300.0,329383318.75,93,16829474600.0,496592300.0,312458386.25,5.463219,5.259031,5.67486,True,3.034659,1.955489,64.438487,1.856614,62.920506
2001,120,2012,38854,2270,38854,13220237700.0,9585789358.0,574074900.0,341160319.03,81,13208718500.0,562555700.0,326907063.6,5.842384,5.613507,6.079992,True,4.342395,2.580591,59.427841,2.474934,58.111057
2001,120,2013,40385,2263,40385,15454865600.0,11309663204.19,619405600.0,356099478.01,83,15443483300.0,608023300.0,340685492.87,5.603566,5.38345,5.832127,True,4.007836,2.304125,57.490516,2.206015,56.031651
2001,120,2014,45907,2796,45907,16844041600.0,12316331866.76,694057300.0,426080080.31,106,16826509600.0,676525300.0,405058717.58,6.090574,5.875454,6.313042,True,4.120491,2.52956,61.389756,2.407265,59.873403
2010,120,2012,38854,2270,38854,13220237700.0,9585789358.0,574074900.0,341160319.03,81,13208718500.0,562555700.0,326907063.6,5.842384,5.613507,6.079992,True,4.342395,2.580591,59.427841,2.474934,58.111057
2010,120,2013,40385,2263,40385,15454865600.0,11309663204.19,619405600.0,356099478.01,83,15443483300.0,608023300.0,340685492.87,5.603566,5.38345,5.832127,True,4.007836,2.304125,57.490516,2.206015,56.031651
2010,120,2014,45907,2796,45907,16844041600.0,12316331866.76,694057300.0,426080080.31,106,16826509600.0,676525300.0,405058717.58,6.090574,5.875454,6.313042,True,4.120491,2.52956,61.389756,2.407265,59.873403
2001,96,2015,55370,3339,55370,20314557100.0,14874416946.82,711042300.0,464785115.16,111,20293936100.0,690421300.0,439737869.89,6.030341,5.835097,6.231687,True,3.500161,2.287941,65.366732,2.166844,63.691237
2010,96,2015,55370,3339,55370,20314557100.0,14874416946.82,711042300.0,464785115.16,111,20293936100.0,690421300.0,439737869.89,6.030341,5.835097,6.231687,True,3.500161,2.287941,65.366732,2.166844,63.691237
2001,120,2015,55370,3660,55370,20314557100.0,14874416946.82,926276800.0,581662365.49,122,20288424000.0,900143700.0,548675864.67,6.610078,6.406124,6.820052,True,4.55967,2.863279,62.795739,2.704379,60.954253
2010,120,2015,55370,3660,55370,20314557100.0,14874416946.82,926276800.0,581662365.49,122,20288424000.0,900143700.0,548675864.67,6.610078,6.406124,6.820052,True,4.55967,2.863279,62.795739,2.704379,60.954253
2001,96,2016,56739,3636,56739,21593989443.0,15839094468.080002,797285600.0,521207140.03,153,21574617743.0,777913900.0,496443377.55,6.408291,6.209717,6.612767,True,3.692164,2.413668,65.372702,2.301053,63.817265
2001,96,2017,56060,3974,56060,23047545800.0,16939763627.050001,900434300.0,612704492.45,162,23023481200.0,876369700.0,583107876.38,7.088833,6.879317,7.30423,True,3.906855,2.658437,68.045441,2.532666,66.536745
2010,96,2016,56739,3636,56739,21593989443.0,15839094468.080002,797285600.0,521207140.03,153,21574617743.0,777913900.0,496443377.55,6.408291,6.209717,6.612767,True,3.692164,2.413668,65.372702,2.301053,63.817265
2010,96,2017,56060,3974,56060,23047545800.0,16939763627.050001,900434300.0,612704492.45,162,23023481200.0,876369700.0,583107876.38,7.088833,6.879317,7.30423,True,3.906855,2.658437,68.045441,2.532666,66.536745
2001,120,2016,42124,2914,42124,15652260243.0,11472571968.5,667432800.0,427161342.64,116,15637646243.0,652818800.0,407779083.48,6.917672,6.679255,7.163945,True,4.26413,2.729071,64.000652,2.607676,62.46436
2010,120,2016,42124,2914,42124,15652260243.0,11472571968.5,667432800.0,427161342.64,116,15637646243.0,652818800.0,407779083.48,6.917672,6.679255,7.163945,True,4.26413,2.729071,64.000652,2.607676,62.46436
2001,96,2018,40411,3052,40411,16830800200.0,12374535105.55,629837000.0,435250082.43,119,16810365700.0,609402500.0,408946413.89,7.552399,7.298789,7.814078,True,3.742169,2.586033,69.105194,2.432704,67.106127
2010,96,2018,40411,3052,40411,16830800200.0,12374535105.55,629837000.0,435250082.43,119,16810365700.0,609402500.0,408946413.89,7.552399,7.298789,7.814078,True,3.742169,2.586033,69.105194,2.432704,67.106127
