experiment_id,segment,value,loans,chargeoffs,prevalence,pr_auc,roc_auc,brier,calibration_intercept,calibration_slope,mean_predicted_risk
E05,approval_fy,2015,55336,3642,0.06581610524793986,0.6470394239361789,0.9652022933629182,0.03310615632583938,0.3734208010368267,1.089588564205765,0.057268310220910605
E05,approval_fy,2016,42103,2898,0.06883119967698263,0.6336686127568298,0.9601119832587093,0.035613818489167885,0.42781726666053516,1.0494786008433115,0.05677139006174226
E05,naics2,11,1762,76,0.043132803632236094,0.42973785166351086,0.899204751201848,0.030651529172488853,0.3711659221707103,1.1317916869773958,0.040165011750762335
E05,naics2,23,10432,673,0.06451303680981595,0.6457739420814206,0.9676179583230748,0.03216953991502716,0.3273150948739499,1.0882458001805564,0.05722825666204667
E05,naics2,31,2163,140,0.06472491909385113,0.6004605915790258,0.9471859331968082,0.03590285196074495,0.24313325505505715,1.0209632448214327,0.057334215829010944
E05,naics2,32,1580,92,0.05822784810126582,0.5658189853671661,0.9584684724170174,0.03402408125396249,0.39991189027621954,1.107943919077225,0.050190353752021834
E05,naics2,33,3569,207,0.05799943961894088,0.5619069871306093,0.9609546307552153,0.03318364539470262,0.22543275179169003,1.0739965964549867,0.053784927408599935
E05,naics2,42,4861,358,0.07364739765480353,0.6268972742965413,0.9610480039998165,0.038043417858682024,0.21231660746848446,1.0361624756314332,0.06730991107132037
E05,naics2,44,9508,646,0.06794278502313841,0.6428943076144076,0.9619034692949268,0.03441861015065453,0.20626875291877747,1.0579024544352023,0.06309718653934247
E05,naics2,45,3621,277,0.07649820491576913,0.6327914440570248,0.953718497918574,0.03994650875768503,0.2315053175966932,0.9907173364660102,0.06735164521786466
E05,naics2,48,5434,493,0.09072506440927494,0.7409883602815368,0.9676874748810815,0.040941712695620684,1.0604038094673884,1.1472525337010089,0.06085416287588245
E05,naics2,51,1169,76,0.06501283147989735,0.5803560047500982,0.9647878846246449,0.035223058873676535,0.3239140358182582,1.08989654408615,0.057437282257083604
E05,naics2,52,1742,64,0.03673938002296211,0.7847750420398417,0.9840677145411203,0.0175387114395784,1.3343649805941526,1.3399154193152694,0.024166913690978477
E05,naics2,53,2262,96,0.042440318302387266,0.6200498151681993,0.9742853570329332,0.023254017808359836,0.7259290089922382,1.252273686983708,0.034596129608349735
E05,naics2,54,9721,609,0.06264787573294929,0.6644599485552187,0.9692422774565306,0.03081246904478535,0.4801887531084861,1.0911447289823386,0.0517048508737689
E05,naics2,56,4652,317,0.0681427343078246,0.7088317222635743,0.9657355761009173,0.03236788317634,0.5446569718730181,1.1005231528005939,0.05495658099128442
E05,naics2,61,1317,89,0.06757782839787396,0.6029947745467895,0.9693573180104673,0.03436567964251653,0.6326860773569375,1.1581009894658825,0.05364969713228772
E05,naics2,62,8757,379,0.04327966198469796,0.6010283311975736,0.9716905250653332,0.023700172988350494,0.5606771453131777,1.1508653338954251,0.03563973692886612
E05,naics2,71,2889,254,0.0879196953963309,0.6539043287139635,0.9537390368898385,0.04304437935247128,0.3495754468384611,1.0144068481641602,0.07448280498930437
E05,naics2,72,12456,994,0.07980089916506101,0.6304325192551793,0.9527578575624047,0.04162525347120112,0.3127129541961413,1.0123344319887086,0.06830726914858654
E05,naics2,81,8847,650,0.07347123318639087,0.6694568189438735,0.964727996171207,0.035302610124223185,0.37758696659912916,1.069268121656827,0.06342501567581388
E05,project_state,AL,763,63,0.08256880733944955,0.680328012339944,0.9653061224489795,0.039148023215405385,0.4418803956194291,1.1025072665174134,0.07014720907588283
E05,project_state,AR,560,39,0.06964285714285715,0.6608979372550475,0.9328707121413455,0.03685724211547321,0.4513900834081676,1.1290176155709748,0.060730821781869136
E05,project_state,AZ,1971,123,0.0624048706240487,0.5935052112365425,0.9731021011508816,0.03450414991798713,0.7226471790652751,1.0009143649778174,0.043580263697393276
E05,project_state,CA,13375,951,0.07110280373831776,0.714321107011035,0.9771014497905415,0.0312991185950681,0.6855918956549394,1.1012706367183067,0.054818693019707376
E05,project_state,CO,2537,141,0.05557745368545526,0.6867088714927646,0.9752646254395623,0.026259767267482644,0.4117472704342261,1.1143809824713735,0.04802695128287376
E05,project_state,CT,1013,56,0.055281342546890426,0.6303057645779045,0.9719734288699806,0.02920388670059858,0.5440809619083531,1.16807300024811,0.04659001233047052
E05,project_state,FL,4869,449,0.09221606079277059,0.6804279030966828,0.9590515373529916,0.04495124890282325,0.708829570344489,0.966743998457128,0.06506025832731994
E05,project_state,GA,2894,194,0.06703524533517623,0.6760349084739596,0.9636912943871707,0.03304559321885807,0.5851573355098969,1.072871626348203,0.05248268432955637
E05,project_state,HI,886,62,0.06997742663656885,0.7337963349976891,0.9754345443156907,0.029954010720622756,0.450469403043252,1.3388383887173496,0.06604564067383957
E05,project_state,IA,617,46,0.07455429497568881,0.6587386903764311,0.9529429680956369,0.03788416840335784,0.1841439590792132,1.142377571136785,0.07343159856186808
E05,project_state,ID,893,34,0.03807390817469205,0.6980132795932737,0.9636033691707183,0.019765800020657413,0.30682807313645877,1.246244536159352,0.0385351006905279
E05,project_state,IL,2950,236,0.08,0.696078171187564,0.9655646178634326,0.038763526866990625,0.6856855173427896,1.1047474639106283,0.060387211911113424
E05,project_state,IN,2122,126,0.05937794533459001,0.507706472046067,0.9500568597512485,0.03745457445889779,0.1831307715451715,1.0610163508390156,0.05595403982502129
E05,project_state,KS,715,45,0.06293706293706294,0.6583886102589783,0.935290215588723,0.03544328836867123,-0.15466903533175907,1.1464463326290957,0.07617055313155127
E05,project_state,KY,858,52,0.06060606060606061,0.546622156252295,0.9437154037029968,0.037062667526778094,0.08514761182682808,1.0384684513433982,0.059382346765207455
E05,project_state,LA,632,57,0.09018987341772151,0.7459675394792118,0.9564607170099161,0.04446862446138365,0.8605236835263578,1.2132139360340504,0.06660350379964312
E05,project_state,MA,3816,236,0.06184486373165619,0.7227544158263911,0.9743466527790929,0.026996153877625863,0.6882000307435746,1.384947898200353,0.0557705465897563
E05,project_state,MD,1299,104,0.0800615858352579,0.6285406789635859,0.95095349211458,0.04328635414748447,0.17952115616354478,0.9603449001353778,0.07115804738915785
E05,project_state,MI,3804,206,0.054153522607781286,0.5974273119807686,0.9645872572140941,0.029847027598614757,0.5679811520830704,1.1377955785499068,0.04392819763472098
E05,project_state,MN,2595,136,0.05240847784200385,0.6288763874239316,0.9622395521852499,0.02853197721343904,0.09590989030389668,1.1334377624639511,0.05433819738208044
E05,project_state,MO,1705,126,0.07390029325513196,0.6111034840590309,0.9512575771283815,0.040828632027472216,0.39861923094965224,1.045503088369406,0.06125907079254994
E05,project_state,MS,713,39,0.0546984572230014,0.4261862638567911,0.9069466636232214,0.040308842708754684,-0.22446316717225312,1.0605042170594607,0.06849979985164963
E05,project_state,NC,1911,135,0.0706436420722135,0.5993271330149155,0.945752002002002,0.03833991680186955,0.06147652810366729,0.8963890105192331,0.06450492439243759
E05,project_state,NE,623,37,0.0593900481540931,0.5784506741929848,0.9109860713956278,0.03632628142672186,-0.1484309784674304,0.9254811605613873,0.06111190538090776
E05,project_state,NH,783,36,0.04597701149425287,0.7264967486601078,0.9878774356686004,0.020013556145927862,0.6068134232795369,1.719623825516861,0.04780207063537697
E05,project_state,NJ,2519,172,0.06828106391425169,0.6481113155734757,0.9643433973107678,0.03440313922229903,0.38660705684123453,1.06291704777143,0.05807153451473571
E05,project_state,NV,827,57,0.06892382103990327,0.6453583151486351,0.9588972431077695,0.03221786786145877,0.21492796419358154,0.9842563282712049,0.06188801994526206
E05,project_state,NY,6086,402,0.06605323693723299,0.5527131484398092,0.9626412711250223,0.03638855393213335,0.324700156992861,1.0302245873071292,0.056641616007922314
E05,project_state,OH,5505,359,0.06521344232515895,0.6687758271088333,0.9654641569242195,0.0329722917811612,0.8431148474992382,1.1395726887447286,0.04676665859979446
E05,project_state,OK,822,57,0.06934306569343066,0.5522532665539537,0.9357642472193555,0.04103232439218821,0.12084213913628263,1.147244585471375,0.07233520342621108
