feature,mean_pr_auc_decrease,sd_pr_auc_decrease,mean_brier_increase
term_months,0.5925365653142656,0.0021193439938950996,0.0511703893086158
initial_interest_rate,0.10262232222647927,0.0059005711147085416,0.0071498191127239
guarantee_percent,0.07955635002347547,0.003795216717179434,0.00549589581839254
project_state,0.0440108338746238,0.003768967100860129,0.00265079645075232
gross_approval,0.01829554051515574,0.0045797896627400615,0.00131869357169638
naics2,0.01310516238445554,0.002824974550509389,0.00065381048803246
business_type,0.00525836785786658,0.0012371297147703553,0.00018910560867158
business_age,0.00408942873349156,0.0016704422344549653,0.00028647933921962
