period,field,row_count,missing_count,missing_percent
FY2010-FY2019,PaidInFullDate,545751,151030,27.6738
FY2010-FY2019,ProcessingMethod,545751,0,0.0
FY2010-FY2019,Program,545751,0,0.0
FY2010-FY2019,ProjectCounty,545751,0,0.0
FY2010-FY2019,ProjectState,545751,0,0.0
FY2010-FY2019,RevolverStatus,545751,0,0.0
FY2010-FY2019,SBADistrictOffice,545751,0,0.0
FY2010-FY2019,SBAGuaranteedApproval,545751,0,0.0
FY2010-FY2019,SoldSecMrktInd,545751,417774,76.5503
FY2010-FY2019,TermInMonths,545751,0,0.0
FY2020-FY2026 YTD,ApprovalDate,388338,0,0.0
FY2020-FY2026 YTD,ApprovalFY,388338,0,0.0
FY2020-FY2026 YTD,AsOfDate,388338,0,0.0
FY2020-FY2026 YTD,BankCity,388338,0,0.0
FY2020-FY2026 YTD,BankFDICNumber,388338,41322,10.6407
FY2020-FY2026 YTD,BankNCUANumber,388338,377191,97.1296
FY2020-FY2026 YTD,BankName,388338,0,0.0
FY2020-FY2026 YTD,BankState,388338,0,0.0
FY2020-FY2026 YTD,BankStreet,388338,0,0.0
FY2020-FY2026 YTD,BankZip,388338,0,0.0
FY2020-FY2026 YTD,BorrCity,388338,0,0.0
FY2020-FY2026 YTD,BorrName,388338,2,0.0005
FY2020-FY2026 YTD,BorrState,388338,0,0.0
FY2020-FY2026 YTD,BorrStreet,388338,0,0.0
FY2020-FY2026 YTD,BorrZip,388338,0,0.0
FY2020-FY2026 YTD,BusinessAge,388338,186,0.0479
FY2020-FY2026 YTD,BusinessType,388338,34,0.0088
FY2020-FY2026 YTD,ChargeOffDate,388338,381450,98.2263
FY2020-FY2026 YTD,CollateralInd,388338,0,0.0
FY2020-FY2026 YTD,CongressionalDistrict,388338,24,0.0062
FY2020-FY2026 YTD,FirstDisbursementDate,388338,71186,18.3309
FY2020-FY2026 YTD,FixedorVariableInterestInd,388338,8,0.0021
FY2020-FY2026 YTD,FranchiseCode,388338,341756,88.0048
FY2020-FY2026 YTD,FranchiseName,388338,341920,88.047
FY2020-FY2026 YTD,GrossApproval,388338,0,0.0
FY2020-FY2026 YTD,GrossChargeOffAmount,388338,0,0.0
FY2020-FY2026 YTD,InitialInterestRate,388338,8,0.0021
FY2020-FY2026 YTD,JobsSupported,388338,0,0.0
FY2020-FY2026 YTD,LoanStatus,388338,0,0.0
FY2020-FY2026 YTD,LocationID,388338,0,0.0
FY2020-FY2026 YTD,NaicsCode,388338,0,0.0
FY2020-FY2026 YTD,NaicsDescription,388338,0,0.0
FY2020-FY2026 YTD,PaidInFullDate,388338,320136,82.4375
FY2020-FY2026 YTD,ProcessingMethod,388338,0,0.0
FY2020-FY2026 YTD,Program,388338,0,0.0
FY2020-FY2026 YTD,ProjectCounty,388338,0,0.0
FY2020-FY2026 YTD,ProjectState,388338,0,0.0
FY2020-FY2026 YTD,RevolverStatus,388338,0,0.0
FY2020-FY2026 YTD,SBADistrictOffice,388338,0,0.0
FY2020-FY2026 YTD,SBAGuaranteedApproval,388338,0,0.0
FY2020-FY2026 YTD,SoldSecMrktInd,388338,271574,69.9324
FY2020-FY2026 YTD,TermInMonths,388338,0,0.0
