period,issue,affected_count,percent_of_period_rows
FY2010-FY2019,CHGOFF status with zero or missing GrossChargeOffAmount,11,0.002016
FY2010-FY2019,ChargeOffDate after AsOfDate,9,0.001649
FY2010-FY2019,ChargeOffDate before ApprovalDate,0,0.0
FY2010-FY2019,ChargeOffDate: non-null value did not parse,0,0.0
FY2010-FY2019,FirstDisbursementDate after AsOfDate,0,0.0
FY2010-FY2019,FirstDisbursementDate before ApprovalDate,421,0.077141
FY2010-FY2019,FirstDisbursementDate: non-null value did not parse,0,0.0
FY2010-FY2019,GrossApproval less than or equal to zero,0,0.0
FY2010-FY2019,GrossChargeOffAmount exceeds 150 percent of GrossApproval,359,0.065781
FY2010-FY2019,GrossChargeOffAmount exceeds GrossApproval,1205,0.220797
FY2010-FY2019,GrossChargeOffAmount less than zero,0,0.0
FY2010-FY2019,InitialInterestRate above 100,0,0.0
FY2010-FY2019,InitialInterestRate above 25,0,0.0
FY2010-FY2019,InitialInterestRate below zero,0,0.0
FY2010-FY2019,InitialInterestRate equals zero,8,0.001466
FY2010-FY2019,JobsSupported above 1000,3,0.00055
FY2010-FY2019,JobsSupported above 500,8,0.001466
FY2010-FY2019,JobsSupported below zero,0,0.0
FY2010-FY2019,JobsSupported is fractional,0,0.0
FY2010-FY2019,NAICS code has an unrecognised 2-digit sector,0,0.0
FY2010-FY2019,Non-CHGOFF status with ChargeOffDate,0,0.0
FY2010-FY2019,Non-CHGOFF status with positive GrossChargeOffAmount,0,0.0
FY2010-FY2019,Non-P I F status with PaidInFullDate,0,0.0
FY2010-FY2019,P I F status missing PaidInFullDate,0,0.0
FY2010-FY2019,PaidInFullDate after AsOfDate,0,0.0
FY2010-FY2019,PaidInFullDate before ApprovalDate,2,0.000366
FY2010-FY2019,PaidInFullDate: non-null value did not parse,0,0.0
FY2010-FY2019,SBAGuaranteedApproval exceeds GrossApproval,0,0.0
FY2010-FY2019,SBAGuaranteedApproval less than zero,0,0.0
FY2010-FY2019,TermInMonths exceeds 360,13,0.002382
FY2010-FY2019,TermInMonths is fractional,0,0.0
FY2010-FY2019,TermInMonths less than or equal to zero,229,0.041961
FY2020-FY2026 YTD,ApprovalDate after AsOfDate,0,0.0
FY2020-FY2026 YTD,ApprovalDate: non-null value did not parse,0,0.0
FY2020-FY2026 YTD,ApprovalFY inconsistent with ApprovalDate fiscal year,0,0.0
FY2020-FY2026 YTD,AsOfDate: non-null value did not parse,0,0.0
FY2020-FY2026 YTD,Both PaidInFullDate and ChargeOffDate present,0,0.0
FY2020-FY2026 YTD,CHGOFF status missing ChargeOffDate,5,0.001288
FY2020-FY2026 YTD,CHGOFF status with zero or missing GrossChargeOffAmount,5,0.001288
FY2020-FY2026 YTD,ChargeOffDate after AsOfDate,22,0.005665
FY2020-FY2026 YTD,ChargeOffDate before ApprovalDate,0,0.0
FY2020-FY2026 YTD,ChargeOffDate: non-null value did not parse,0,0.0
FY2020-FY2026 YTD,FirstDisbursementDate after AsOfDate,0,0.0
FY2020-FY2026 YTD,FirstDisbursementDate before ApprovalDate,0,0.0
FY2020-FY2026 YTD,FirstDisbursementDate: non-null value did not parse,0,0.0
FY2020-FY2026 YTD,GrossApproval less than or equal to zero,0,0.0
FY2020-FY2026 YTD,GrossChargeOffAmount exceeds 150 percent of GrossApproval,44,0.01133
FY2020-FY2026 YTD,GrossChargeOffAmount exceeds GrossApproval,326,0.083947
FY2020-FY2026 YTD,GrossChargeOffAmount less than zero,0,0.0
FY2020-FY2026 YTD,InitialInterestRate above 100,0,0.0
FY2020-FY2026 YTD,InitialInterestRate above 25,0,0.0
FY2020-FY2026 YTD,InitialInterestRate below zero,0,0.0
FY2020-FY2026 YTD,InitialInterestRate equals zero,87,0.022403
FY2020-FY2026 YTD,JobsSupported above 1000,0,0.0
FY2020-FY2026 YTD,JobsSupported above 500,1,0.000258
FY2020-FY2026 YTD,JobsSupported below zero,0,0.0
FY2020-FY2026 YTD,JobsSupported is fractional,0,0.0
FY2020-FY2026 YTD,NAICS code has an unrecognised 2-digit sector,0,0.0
FY2020-FY2026 YTD,Non-CHGOFF status with ChargeOffDate,0,0.0
FY2020-FY2026 YTD,Non-CHGOFF status with positive GrossChargeOffAmount,0,0.0
FY2020-FY2026 YTD,Non-P I F status with PaidInFullDate,1,0.000258
FY2020-FY2026 YTD,P I F status missing PaidInFullDate,0,0.0
FY2020-FY2026 YTD,PaidInFullDate after AsOfDate,0,0.0
FY2020-FY2026 YTD,PaidInFullDate before ApprovalDate,2,0.000515
FY2020-FY2026 YTD,PaidInFullDate: non-null value did not parse,0,0.0
FY2020-FY2026 YTD,SBAGuaranteedApproval exceeds GrossApproval,0,0.0
FY2020-FY2026 YTD,SBAGuaranteedApproval less than zero,0,0.0
FY2020-FY2026 YTD,TermInMonths exceeds 360,1,0.000258
FY2020-FY2026 YTD,TermInMonths is fractional,0,0.0
FY2020-FY2026 YTD,TermInMonths less than or equal to zero,11,0.002833
