file,field,pandas_dtype,missing_count,missing_percent,blank_string_count,distinct_count
FOIA_7a_FY2000_FY2009_asof_260630.csv,TermInMonths,float64,0,0.0,0,358
FOIA_7a_FY2000_FY2009_asof_260630.csv,NaicsCode,float64,19777,2.8648,0,1303
FOIA_7a_FY2000_FY2009_asof_260630.csv,NaicsDescription,object,19777,2.8648,0,1573
FOIA_7a_FY2000_FY2009_asof_260630.csv,FranchiseCode,object,650698,94.2586,0,2276
FOIA_7a_FY2000_FY2009_asof_260630.csv,FranchiseName,object,650699,94.2587,0,2222
FOIA_7a_FY2000_FY2009_asof_260630.csv,ProjectCounty,object,351,0.0508,0,1925
FOIA_7a_FY2000_FY2009_asof_260630.csv,ProjectState,object,0,0.0,0,59
FOIA_7a_FY2000_FY2009_asof_260630.csv,SBADistrictOffice,object,0,0.0,0,73
FOIA_7a_FY2000_FY2009_asof_260630.csv,CongressionalDistrict,float64,2357,0.3414,0,54
FOIA_7a_FY2000_FY2009_asof_260630.csv,BusinessType,object,526,0.0762,0,3
FOIA_7a_FY2000_FY2009_asof_260630.csv,BusinessAge,object,76,0.011,0,8
FOIA_7a_FY2000_FY2009_asof_260630.csv,LoanStatus,object,0,0.0,0,4
FOIA_7a_FY2000_FY2009_asof_260630.csv,PaidInFullDate,object,230111,33.3333,0,253
FOIA_7a_FY2000_FY2009_asof_260630.csv,ChargeOffDate,object,545987,79.0904,0,5116
FOIA_7a_FY2000_FY2009_asof_260630.csv,GrossChargeOffAmount,float64,0,0.0,0,129440
FOIA_7a_FY2000_FY2009_asof_260630.csv,RevolverStatus,object,0,0.0,0,2
FOIA_7a_FY2000_FY2009_asof_260630.csv,JobsSupported,float64,0,0.0,0,408
FOIA_7a_FY2000_FY2009_asof_260630.csv,CollateralInd,object,0,0.0,0,2
FOIA_7a_FY2000_FY2009_asof_260630.csv,SoldSecMrktInd,object,548850,79.5051,0,2
FOIA_7a_FY2010_FY2019_asof_260630.csv,AsOfDate,object,0,0.0,0,1
