project_state,eligible_loans,chargeoffs,gross_approval,gross_approval_share_percent,display_chargeoff_rate_percent,display_ci95_low_percent,display_ci95_high_percent,risk_display_allowed,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,vintages_passing_500_25,model_test_loans,chargeoffs_model_test,prevalence,mean_predicted_risk,brier,calibration_intercept,calibration_slope,model_calibration_available
VA,4446,345,1637917600,1.51838096,7.759784,7.009335,8.583164,True,6.30911418,-1.13336296,-1.80687771,-0.45984822,6,1386,113,0.08152958153,0.06048909964,0.04312691018,0.7500340524,1.15882883,True
NJ,7065,504,2978642400,2.761258507,7.133758,6.556586,7.75752,True,7.79055829,0.34808114,-0.29430879,0.99047108,7,2519,172,0.06828106391,0.06097349154,0.03391352117,0.3607133963,1.133348158,True
IA,2768,221,955156500,0.8854483542,7.984104,7.031614,9.053052,True,5.79799169,-1.64448545,-2.39738856,-0.89158233,2,617,46,0.07455429498,0.06690511234,0.04041375088,0.4473609882,1.18422345,True
OK,2774,220,1168363900,1.083095694,7.930786,6.982411,8.995515,True,5.93976791,-1.50270923,-2.26271488,-0.74270358,0,822,57,0.06934306569,0.07258752799,0.04459091038,0.002694420533,1.052724047,True
CT,3320,206,964284800,0.893910463,6.204819,5.433744,7.077125,True,6.77803692,-0.66444022,-1.49792235,0.16904191,2,1013,56,0.05528134255,0.04649289436,0.02928408349,0.4888578799,1.114156876,True
SD,869,48,250668800,0.2323747746,5.52359,4.191257,7.247414,True,4.47170484,-2.97077231,-4.12400838,-1.81753623,0,,,,,,,,False
NM,1489,79,511754100,0.4744058441,5.305574,4.277758,6.56341,True,3.61069171,-3.83178543,-4.65343028,-3.01014058,0,,,,,,,,False
MD,4167,301,1353907600,1.255098255,7.223422,6.476187,8.049454,True,6.74262258,-0.69985456,-1.41616737,0.01645824,6,1299,104,0.08006158584,0.06984182929,0.04469641198,0.190771394,0.9452488438,True
NH,3025,160,436344300,0.4044995164,5.289256,4.546859,6.145066,True,5.11215524,-2.3303219,-3.10658033,-1.55406347,1,783,36,0.04597701149,0.0463815763,0.02219493905,0.6302842987,1.588212404,True
OR,4363,205,1413022700,1.309899084,4.698602,4.109567,5.367339,True,4.86364453,-2.57883262,-3.20705439,-1.95061084,5,1395,76,0.05448028674,0.04497595586,0.02964986718,0.1915728964,0.8786978017,True
ND,1173,37,265786600,0.2463892645,3.154305,2.297003,4.317436,True,2.23000439,-5.21247275,-5.92528473,-4.49966077,0,,,,,,,,False
LA,2653,216,859392900,0.7966736644,8.141726,7.16061,9.243887,True,6.04907118,-1.39340596,-2.21182026,-0.57499167,1,632,57,0.09018987342,0.06114340673,0.04813654244,1.110040389,1.273775209,True
HI,2105,128,189073300,0.1752745674,6.08076,5.137672,7.183854,True,3.65503971,-3.78743743,-4.40539025,-3.16948461,1,886,62,0.06997742664,0.04767137727,0.03324545632,1.315845454,1.440080926,True
KS,2729,193,879735600,0.8155317366,7.072188,6.169489,8.095571,True,5.0815577,-2.36091944,-3.06533732,-1.65650155,0,715,45,0.06293706294,0.06614212541,0.03491914289,0.06681502124,1.116114378,True
NE,2425,166,690948400,0.6405223894,6.845361,5.907031,7.920197,True,5.6219818,-1.82049535,-2.60990367,-1.03108702,0,623,37,0.05939004815,0.05337596351,0.0367494281,0.05610671855,0.9334205363,True
WV,806,47,216426200,0.2006312291,5.831266,4.413313,7.668244,True,7.00238052,-0.44009663,-2.31349176,1.43329851,0,,,,,,,,False
RI,2001,105,381520200,0.3536765265,5.247376,4.353311,6.312942,True,6.04013566,-1.40234148,-2.41435323,-0.39032973,0,545,35,0.06422018349,0.04956101899,0.02496505514,1.44276301,1.730799567,True
NV,2134,157,740402000,0.686366823,7.357076,6.324378,8.543022,True,7.69570169,0.25322454,-0.79008204,1.29653113,0,827,57,0.06892382104,0.07267059001,0.03373619937,-0.1455905808,0.9543609596,True
WY,658,43,203247900,0.1884146928,6.534954,4.887553,8.686916,True,3.92430226,-3.51817488,-4.61043424,-2.42591551,0,,,,,,,,False
MT,1950,80,468262700,0.434088484,4.102564,3.308689,5.076918,True,2.04005958,-5.40241756,-5.90385656,-4.90097856,0,,,,,,,,False
AK,753,47,355105300,0.3291894087,6.2417,4.726086,8.201516,True,5.7547209,-1.68775624,-3.25229052,-0.12322197,0,,,,,,,,False
DE,797,59,272110100,0.25225127,7.40276,5.78231,9.43187,True,7.20558198,-0.23689516,-1.7757958,1.30200548,0,,,,,,,,False
